emotion,real_mean,real_sem,fake_mean,fake_sem,diff (fake-real)
Positive,0.05279293842638447,0.00016160137607569908,0.05859518237664813,0.00011391901239791685,0.005802243950263665
Negative,0.039546839870528545,0.0001515221752834945,0.035817732998474176,9.898452473939576e-05,-0.003729106872054369
Anger,0.020355723533639715,0.00010048470694067382,0.017935613588653185,7.46342980135874e-05,-0.00242010994498653
Anticipation,0.023544299076943793,0.0001085572299297744,0.023416356184674022,6.983905693677593e-05,-0.0001279428922697709
Disgust,0.01195323773011275,8.762582342722918e-05,0.00815591546431343,4.264703969163405e-05,-0.0037973222657993206
Fear,0.02582595910001677,0.0001206598577431949,0.02494189745714629,9.79236722667873e-05,-0.000884061642870481
Joy,0.01587246567676764,9.752821463955668e-05,0.014556235448350168,5.716878321111375e-05,-0.0013162302284174723
Sadness,0.017142809130275483,9.025134076406242e-05,0.015222177060846524,6.42728177318735e-05,-0.0019206320694289594
Surprise,0.01829805553277235,0.00010441320629819312,0.015107730061031869,6.464904564881009e-05,-0.0031903254717404825
Trust,0.0385826196223846,0.00013945822479638983,0.04704252574478867,0.00011878589304768232,0.00845990612240407
